date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:07	148508/148508	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:07%20GMT	https://www.mytrailmaps.net/maps/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/maps/index.html	(from )
22:57:15	140/140	---M--	200	added ('OK')	text/plain	date:Sat,%2015%20Nov%202025%2003:57:06%20GMT	https://www.mytrailmaps.net/robots.txt		(from )
22:57:16	55535/55535	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:07%20GMT	https://www.mytrailmaps.net/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/index.html	(from )
22:57:16	49057/49057	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:07%20GMT	https://www.mytrailmaps.net/about/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/about/index.html	(from )
22:57:16	68602/68602	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:17%20GMT	https://www.mytrailmaps.net/terms-and-conditions/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/terms-and-conditions/index.html	(from )
22:57:16	48410/48410	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:09%20GMT	https://www.mytrailmaps.net/contact/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact/index.html	(from )
22:57:17	36611/36611	---M--	200	added ('OK')	image/png	etag:%22377f324052689002387c4c7a527dd510%22	https://67c830faa6.clvaw-cdnwnd.com/abb34e78bea567a6bf928bb28a665630/200000099-664a4664a6/My%20Trail%20Maps%20Logo-8.png?ph=67c830faa6	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/67c830faa6.clvaw-cdnwnd.com/abb34e78bea567a6bf928bb28a665630/200000099-664a4664a6/My%20Trail%20Maps%20Logo-8b9d8.png	(from https://www.mytrailmaps.net/)
22:57:17	61350/61350	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:18%20GMT	https://www.mytrailmaps.net/tablets/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/tablets/index.html	(from )
22:57:17	66324/66324	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2003:57:18%20GMT	https://www.mytrailmaps.net/offroad-blog/	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/offroad-blog/index.html	(from )
22:57:17	8520/8520	---MCZ	200	added ('OK')	text/css	etag:W/%222c2a57ed786e49026f7f72229c6b721f%22	https://duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmm.css?ph=67c830faa6	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmmb9d8.css	(from https://www.mytrailmaps.net/)
